SN,TITLE,CONTENT_lick,DATE
193500.0,기업들의 플라스틱 사용량을 기재하게 해주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193500,2022-11-08 21:08:10.0
193499.0,텀블러나 장바구니 이용시 바로쓸수있는 할인권과 포인트적립 및 주차권발행,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193499,2022-11-08 14:52:37.0
193498.0,가정밖청(소)년 보호 요청,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193498,2022-11-08 14:13:29.0
193497.0,문서 파쇄기 사용 확대 제안,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193497,2022-11-08 11:16:47.0
193496.0,전장연 시위,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193496,2022-11-07 23:03:26.0
193495.0,지하철 전동 휠체어 급속 충전기 위치 변경 혹은 시설 개선 제안드립니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193495,2022-11-07 19:58:53.0
193494.0,서울 시내 주요 관광지에 어린이 놀이터가 더 많아지면 좋겠습니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193494,2022-11-07 19:10:42.0
193493.0,문화누리상품권,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193493,2022-11-07 16:59:53.0
193492.0,불법주차단속견인전  안내,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193492,2022-11-07 11:08:13.0
193491.0,서대문구에 사는 서울 시민 입니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193491,2022-11-07 10:09:38.0
193490.0,학교 각 반 다회용 컵 살균 소독기 설치 의무화,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193490,2022-11-06 23:51:25.0
193489.0,PVC랩 금지 정책을 강화시켜주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193489,2022-11-06 21:57:51.0
193488.0,재건축·재개발 추진위원회 및 조합 운영개선,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193488,2022-11-06 12:39:18.0
193487.0,"라벨이 있는 플라스틱 제품에 플라스틱으로 인해 고통 받는 동,식물 사진을 넣어 경고성 광고 제안",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193487,2022-11-06 12:12:58.0
193486.0,카페에서 재활용 컵을 팔게끔 해주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193486,2022-11-06 03:01:50.0
193485.0,페트병 라벨을 대체해 주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193485,2022-11-05 19:13:04.0
193484.0,전기이륜차 지원 관련 건의문,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193484,2022-11-04 14:23:11.0
193483.0,은행나무 은행  처리,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193483,2022-11-04 10:13:48.0
193482.0,서울지하철 한성대입구역(삼선교) 천장의 문제,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193482,2022-11-04 08:48:24.0
193481.0,이태원참사(추모및 앞으로대책)관련 서울시장님께 제안드립니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=193481,2022-11-03 16:48:35.0
