,store,sido,gungu,store_address
946,테크노밸리점,충청남도,서산시,충청남도 서산시 성연면 일람리 1123
947,테크노점,충청북도,청주시흥덕구,"충청북도 청주시흥덕구 송화로166번길 7-9, 1층 102호"
948,테크노점(아산),충청남도,아산시,충청남도 아산시 둔포면 아산밸리로 298
949,토곡점,부산광역시,연제구,부산광역시 연제구 과정로265번길 78
950,통영1점,경상남도,통영시,"경상남도 통영시 중앙로 255 106호(북신동,동우상가)"
951,통영2점,경상남도,통영시,경상남도 통영시 도천상가안길 60 영생상가나동111호
952,퇴계동점,강원도,춘천시,"강원도 춘천시 행촌로32번길 5-6, 1층(퇴계동)"
953,퇴계원점(남양주),경기도,남양주시,"경기도 남양주시 퇴계원면 경춘북로520번길 4, 1층2호"
954,퇴계주공점,강원도,춘천시,강원도 춘천시 지석로 74-11 A13(퇴계동)
955,퇴촌점,경기도,광주시,경기도 광주시 퇴촌면 광동로 97
956,파동점,대구광역시,수성구,대구광역시 수성구 파동로 99
957,파인힐(공단점),경기도,시흥시,경기도 시흥시 마유로 226 120호
958,파장2점,경기도,수원시장안구,"경기도 수원시장안구 파장천로44번길 88, 1층(파장동)"
959,파장점,경기도,수원시장안구,경기도 수원시장안구 파장로 79
960,판암2점,대전광역시,동구,대전광역시 동구 동부로  55-58 6단지상가 101
961,팽성점,경기도,평택시,경기도 평택시 팽성읍 안정쇼핑로 77-2
962,평내점,경기도,남양주시,경기도 남양주시 경춘로 1302
963,평리점,대구광역시,서구,대구광역시 서구 서대구로41길 7
964,평원점,강원도,원주시,강원도 원주시 평원로 67(평원동)
965,평창점(강원),강원도,평창군,강원도 평창군  평창읍 평창중앙로 84
966,평촌3점,경기도,안양시동안구,경기도 안양시동안구 관평로 227 한가람상가 103호
967,평촌5점,경기도,안양시동안구,"경기도 안양시동안구 동안로 2.109(호계동,무궁화진흥아파트상가)"
968,평택1점,경기도,평택시,"경기도 평택시 중앙로 19(통복동, 2층)"
969,평택법원점,경기도,평택시,경기도 평택시 평남로 1056 1층
970,평택지산점,경기도,평택시,경기도 평택시 지산로 82
971,평화점,전라북도,전주시완산구,전라북도 전주시완산구 구이로 2077
972,포남동점,강원도,강릉시,강원도 강릉시  강릉대로527번 15(포남동)
973,포남로얄점,강원도,강릉시,강원도 강릉시  경강로 2265(포남동)
974,포도원점,경기도,안양시동안구,경기도 안양시동안구 포도원로 6
975,포승점,경기도,평택시,경기도 평택시 포승읍 서동대로 1155
976,포천점,경기도,포천시,경기도 포천시 중앙로 184
977,포항이동점,경상북도,포항시남구,경상북도 포항시남구 포스코대로 146
978,포항장성점,경상북도,포항시북구,경상북도 포항시북구 성실로 38
979,포항터미널점,경상북도,포항시남구,경상북도 포항시남구 중섬로 25(대잠동)
980,풍납점,서울특별시,송파구,서울특별시 송파구 풍성로 24(풍납동)
981,풍동식사점,경기도,고양시일산동구,"경기도 고양시일산동구 숲속마을2로 100, 1층101호(풍동)"
982,풍무2점,경기도,김포시,"경기도 김포시 풍무로 51, 101호(풍무동)"
983,하남신도시점,경기도,하남시,경기도 하남시 천현로 73
984,하남점,광주광역시,광산구,광주광역시 광산구 산정로 41
985,하늘도시점,인천광역시,중구,인천광역시 중구 하늘달빛로 80 
986,하당동아점,전라남도,목포시,전라남도 목포시 신흥로45번길 9
987,하당부영점,전라남도,목포시,전라남도 목포시 삼향천로91번길 26
988,하대원점,경기도,성남시중원구,"경기도 성남시중원구 마지로155번길 25-7(하대원동,1층)"
989,하동점,경상남도,하동군,경상남도 하동군 하동읍 중앙2길12
990,하북점,경기도,평택시,경기도 평택시 진위면 하북4길 3
