,store,si,do,address
0,강남역,서울,강남구,서울 강남구 역삼동 619-28
1,개포1호,서울,강남구,서울 강남구 개포동 1229-18
2,개포2호,서울,강남구,서울 강남구 개포동 158-4
3,논현1호(서울),서울,강남구,서울 강남구 논현동 164-16
4,대치1호,서울,강남구,서울 강남구 대치동936
5,대치2호,서울,강남구,서울 강남구 대치동 989-4
6,도곡,서울,강남구,서울 강남구 도곡동 416-4
7,삼성1호,서울,강남구,서울 강남구 삼성동 44-18
8,세곡,서울,강남구,서울 강남구 자곡동 611
9,압구정신사,서울,강남구,서울 강남구 신사동 640-5 대성빌딩 1층 1호
10,역삼1호,서울,강남구,서울 강남구 역삼동 837-15
11,일원1동,서울,강남구,서울 강남구 일원동 645
12,일원본동,서울,강남구,서울 강남구 수서동 747 삼성아파트 상가 104호
13,청담역,서울,강남구,서울 강남구 청담동 65 진흥아파트상가
14,강일,서울,강동구,서울 강동구 강일동 679-3 리슈빌오피스텔
15,고덕1호(서울),서울,강동구,서울 강동구 고덕동 650-1
16,길1호,서울,강동구,서울 강동구 길동 347-31
17,길동역,서울,강동구,서울 강동구 길동 388-3
18,둔촌1호,서울,강동구,서울 강동구 둔촌동 454-5
19,명일1호,서울,강동구,서울 강동구 명일동 328-2
20,상일,서울,강동구,서울 강동구 고덕동 200-3
21,상일2호,서울,강동구,서울 강동구 구천면로 640
22,성내,서울,강동구,서울 강동구 성내2동 509-7 1층
23,암사1호,서울,강동구,서울 강동구 암사동 504-37
24,암사2호,서울,강동구,서울 강동구 암사동 451-18
25,천호1호,서울,강동구,서울 강동구 천호동 571
26,덕성여대,서울,강북구,서울 강북구 우이동 72-133
27,미아1호,서울,강북구,서울 강북구 미아동 561-2 현대성우아파트 상가 104호
28,미아사거리,서울,강북구,서울 강북구 미아동 55-5
29,미아역,서울,강북구,서울 강북구 미아동 131-8
30,번동,서울,강북구,서울 강북구 번동 169-1
31,수유1호,서울,강북구,서울 강북구 수유동 385-2
32,수유2호,서울,강북구,서울 강북구 수유동 57-2
33,수유역점,서울,강북구,서울 강북구 번동 461-127
34,가양,서울,강서구,서울 강서구 등촌동 75-1
35,강서구청,서울,강서구,서울 강서구 화곡동 986-16
36,까치산역,서울,강서구,서울 강서구 화곡동 343-62 라인씨티 1층
37,등촌,서울,강서구,서울 강서구 등촌동 649-14
38,마곡1호,서울,강서구,서울 강서구 강서로 마곡동 784-11 마곡오드카운티1차 111호
39,마곡역,서울,강서구,서울 강서구 마곡동 774-1
40,발산,서울,강서구,서울 강서구 내발산동 648-15
41,방화1호,서울,강서구,서울 강서구 방화동 571-1
42,방화2호,서울,강서구,서울 강서구 방화2동 580-27
43,염창,서울,강서구,서울 강서구 염창동 249-5
44,화곡2호,서울,강서구,서울 강서구 화곡동 400-45
45,봉천1호,서울,관악구,서울 관악구 봉천동 861-7
46,봉천2호,서울,관악구,서울 관악구 봉천동 1674-20
47,봉천3호,서울,관악구,서울 관악구 봉천동 1632-9
48,봉천4호,서울,관악구,서울 관악구 봉천동 931-12
49,신림1호,서울,관악구,서울 관악구 신림동 518-56
50,신림2호,서울,관악구,서울 관악구 신림동 1680-15
51,신림3호,서울,관악구,서울 관악구 신림동 241-66
52,신림4호,서울,관악구,서울 관악구 신림동 706-6
53,건대,서울,광진구,서울 광진구 화양동 9-18
54,광장,서울,광진구,서울 광진구 광장동 530-13
55,구의역,서울,광진구,서울 광진구 구의동 257-70
56,자양1호,서울,광진구,서울 광진구 자양3동 584-28
57,자양2호,서울,광진구,서울 광진구 자양동 624-42
58,중곡1호,서울,광진구,서울 광진구 중곡동 243-1
59,중곡2호,서울,광진구,서울 광진구 중곡동 24-2
60,개봉1호,서울,구로구,서울 구로구 개봉동 403-159
61,고척1호,서울,구로구,서울 구로구 개봉1동 126-4
62,구로2호,서울,구로구,서울 구로구 구로동 74-30
63,구로디지털,서울,구로구,서울 구로구 구로동 826-1
64,남구로,서울,구로구,서울 구로구 구로동 704-38
65,동양미래대학,서울,구로구,서울 구로구 고척동 343
66,신도림1호,서울,구로구,서울 구로구 신도림동 648 신도림6차대림아파트 상가 902동 111호
67,오류1호,서울,구로구,서울 구로구 오류1동 10-3
68,천왕역,서울,구로구,서울 구로구 오류동 203-1 1층
69,가산디지털,서울,금천구,서울 금천구 가산동 371-6 가산비지니스센터 2층
70,독산1호,서울,금천구,서울 금천구 독산동 961-10
71,독산2동,서울,금천구,서울 금천구 독산동 1059-4
72,시흥1호,서울,금천구,서울 금천구 시흥2동 264-17
73,시흥2호,서울,금천구,서울 금천구 시흥1동 905-5
74,공릉1호,서울,노원구,서울 노원구 공릉동 338-6
75,공릉2호,서울,노원구,서울 노원구 공릉동 461-1
76,공릉3호,서울,노원구,서울 노원구 공릉동 568-27
77,상계4단지,서울,노원구,서울 노원구 상계동 749-5
78,상계보람,서울,노원구,서울 노원구 상계동 456-70
79,상계역,서울,노원구,서울 노원구 중계동 137-39
80,석계역,서울,노원구,서울 노원구 월계1동 73-13
81,수락산역,서울,노원구,서울 노원구 상계동 1118
82,인덕대,서울,노원구,서울 노원구 월계동 951 월계센트럴아이파크 상가동 101호
83,중계1호,서울,노원구,서울 노원구 중계1동 360-9
84,중계역,서울,노원구,서울 노원구 중계동 503
85,하계1호,서울,노원구,서울 노원구 하계1동 251 청구상가 201동 101호
86,도봉동,서울,도봉구,서울 도봉구 도봉2동 623-163
87,방학,서울,도봉구,서울 도봉구 방학동 659-32
